source_folder;canonical_name;societe_gestion;status_initial;status_final;traite_v3;traite_extraction_47;non_scpi;lot_extraction;confidence_score;extraction_status_detail;source_document;source_periode;prix_souscription;prix_retrait;valeur_realisation;valeur_reconstitution;capitalisation;nb_associes;nb_parts;nb_actifs;tof;taux_distribution_2025;dividende_brut_t1_2026;endettement;parts_en_attente;frequence_distribution;type_capital;repartition_sectorielle;repartition_geo;objectif_td;commentaire
SCPI LinaClub;LinaClub;Inter Gestion REIM;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
SCPI Comète;Comète;Alderan;to_extract_47;extracted_complete;NON;OUI;NON;1;0.88;extracted_bt_t1_2026;BT_T1_2026 (Comète);T1 2026;208 €;;;;;;;;non extrait;non extrait;non extrait;;;;variable;;;;Extraction complète BT T1 2026
SCPI Optimale;Optimale;Consultim Asset Management;to_extract_47;extracted_complete;NON;OUI;NON;2;0.95;extracted_bt_t1_2026;032026-Bulletin-trimestriel.pdf;T1 2026;255 €;229,50 €;222,19 €;268,22 €;93 M€;1 626;369 491,60;39;94,25 %;6,50 %;3,84 €;17,68 %;0;Mensuelle;Variable;"{""Bureaux"": ""40,2 %"", ""Commerces"": ""28,3 %"", ""Activités & Logistique"": ""26,4 %"", ""Santé & Éducation"": ""5,1 %""}";France (carte sans détail régional chiffré dans le BT);Entre 5 % et 6 % sur horizon recommandé (non garanti);BT T1 2026 fourni manuellement par le client (032026-Bulletin-trimestriel.pdf). Extraction complete.
Epsicap Nano;Epsicap Nano;Epsicap;to_extract_47;extracted_complete;NON;OUI;NON;3;0.92;extracted_bt_t1_2026;epsicap_nano_bt.pdf;T1 2026;257 €;;;;>200 M€;;;;;6,08 %;4,50 €;;;mensuelle;variable;;International — Écosse (hôtel), Pologne (logistique) + autres actifs France-Europe;;Extraction complète BT T1 2026
SCPI Transitions Europe;Transitions Europe;Arkéa REIM;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
SCPI Remake Live;Remake Live;Remake AM;to_extract_47;extracted_complete;NON;OUI;NON;3;0.93;extracted_bt_t1_2026;remake_live_doc1.pdf (copie depuis document.pdf);T1 2026;204 €;204 €;;;882 M€;;;;99,16 %;7,05 %;3,24 €;;;trimestrielle;variable;;UK, France, Espagne, Pays-Bas, Belgique, Italie — diversification européenne;;Noms de fichiers génériques (document.pdf). Identification BT confirmée à la lecture.
SCPI Elialys;Elialys;Elixis AM;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
SCPI Eurovalys;Eurovalys;Advenis REIM;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
SCPI Alta Convictions;Alta Convictions;Altarea Investment Managers;to_extract_47;extracted_complete;NON;OUI;NON;3;0.92;extracted_bt_t1_2026;alta_convictions_bt.pdf;T1 2026;308 €;;;;121 M€;;;;96 %;6,57 %;5,16 €;;;mensuelle (depuis avril 2026);variable;;;;Extraction complète BT T1 2026
Kyaneos Denormandie 4;Kyaneos Denormandie 4;Kyaneos AM;non_scpi_to_check;non_scpi_excluded;NON;NON;OUI;;;;;Non-SCPI — Denormandie;;;;;;;;;;;;;;;;;;;Produit Kyaneos Denormandie 4 — dispositif fiscal Denormandie — pas une SCPI classique. Exclu de l'extraction SCPI.
SCPI Foncière des Praticiens;Foncière des Praticiens;Fiducial Gérance;already_existing_no_create;already_in_system;NON;NON;NON;;0.8;;;Existant dans MaximusSCPI;;;;;;;;;;;;;;;;;;;Déjà présente dans MaximusSCPI — pas de recréation
Épargne Pierre Europe;Épargne Pierre Europe;Atland Voisin;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
Iroko Zen;Iroko Zen;Iroko;to_extract_47;extracted_complete;NON;OUI;NON;1;0.9;extracted_bt_t1_2026;BT_T1_2026 (Iroko Zen);T1 2026;200 €;;;;non extrait (>300 M€);;;;~97 %;non extrait;non extrait;;0;mensuelle;variable;;;;Extraction complète BT T1 2026
SCPI Log In;Log In;Theoreim;to_extract_47;extracted_complete;NON;OUI;NON;2;0.93;extracted_bt_t1_2026;log_in_bt_t1.pdf;T1 2026;255 €;;;;240,8 M€;;;;100 %;6,21 % (brut);3,79 €;0 % (Q1 2026);;trimestrielle;variable;;;;Extraction complète BT T1 2026
SCPI GMA Essentialis;GMA Essentialis;GMA REIM;already_existing_no_create;already_in_system;NON;NON;NON;;0.8;;;Existant dans MaximusSCPI;;;;;;;;;;;;;;;;;;;Déjà présente dans MaximusSCPI
SCPI Cristal Life;Cristal Life;Inter Gestion REIM;to_extract_47;extracted_complete;NON;OUI;NON;2;0.93;extracted_bt_t1_2026;cristal_life_bt_t1.pdf;T1 2026;208 €;;;;387,43 M€;;;;95,57 %;6,54 %;3,381 €;;;mensuelle;variable;;;;Extraction complète BT T1 2026
SCPI LF Avenir Santé;LF Avenir Santé;La Française REM;already_existing_no_create;already_in_system;NON;NON;NON;;0.8;;;Existant dans MaximusSCPI;;;;;;;;;;;;;;;;;;;Déjà présente dans MaximusSCPI
Grand Paris Résidentiel;Grand Paris Résidentiel;Foncière Magellan;already_existing_no_create;already_in_system;NON;NON;NON;;0.8;;;Existant dans MaximusSCPI;;;;;;;;;;;;;;;;;;;Déjà présente dans MaximusSCPI
SCPI Cœur Europe;Cœur Europe;Sogenial Immobilier;to_extract_47;extracted_complete;NON;OUI;NON;2;0.92;extracted_bt_t1_2026_path_fixed;coeur_europe_bt_t1.pdf (copie depuis Bulletin-Trimestriel-1T-2026---Coeur-dEurope.pdf);T1 2026;204 €;;;;256 M€;;;;95,02 %;6,25 % (brut);3,04 €;3,90 %;;trimestrielle;variable;;;;Extraction complète BT T1 2026
Paref Evo;Paref Evo;Paref Gestion;to_extract_47;extracted_complete;NON;OUI;NON;3;0.92;extracted_bt_t1_2026;paref_evo_bt.pdf;T1 2026;250 €;;213,42 €;245,04 €;49,3 M€;1 066;197 184;5;87,8 %;4,72 % (brut);2,64 €;0,0 %;840;trimestrielle;variable;Bureaux 89,4% / Activité-autre 10,6% — Europe hors France;Varsovie 46,7% / Cracovie + Pologne 53,3%;;Extraction complète BT T1 2026
SCPI NCAP Éducation Santé;NCap Éducation Santé;Norma Capital;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
SCPI Cristal Rente;Cristal Rente;Inter Gestion REIM;to_extract_47;extracted_complete;NON;OUI;NON;3;0.92;extracted_bt_t1_2026;cristal_rente_bt.pdf;T1 2026;255,68 €;;;;682,95 M€;;;;98,99 %;5,00 %;3,196 €;;;trimestrielle;variable;;;;Extraction complète BT T1 2026
SCPI PERIAL Hospitalité Europe;PERIAL Hospitalité Europe;PERIAL AM;already_existing_no_create;already_in_system;NON;NON;NON;;0.8;;;Existant dans MaximusSCPI;;;;;;;;;;;;;;;;;;;Déjà présente — anciennement PERIAL Hôtel & Résidentiel
SCPI Activimmo;Activimmo;Alderan;to_extract_47;extracted_complete;NON;OUI;NON;1;0.9;extracted_bt_t1_2026;BT_T1_2026 (Activimmo);T1 2026;207 €;;;;;;;;non extrait;non extrait;non extrait;;;;variable;;;;Extraction complète BT T1 2026
NCap Régions;NCap Régions;Norma Capital;to_extract_47;extracted_complete;NON;OUI;NON;3;0.92;extracted_bt_t1_2026_path_fixed;ncap_regions_bt.pdf (copie depuis bt_ncap_regions_t1_2026.pdf);T1 2026;682 €;;;;1 097 M€;;;;non extrait;5,72 %;;21,69 %;;mensuelle (depuis février 2026);variable;;;;Extraction complète BT T1 2026
Urban Cœur Commerce;Urban Cœur Commerce;Urban Premium;to_extract_47;extracted_complete;NON;OUI;NON;1;0.93;extracted_bt_t1_2026;UCC_BT_1T2026.pdf;T1 2026;303 €;;267,15 €;322,86 €;92,4 M€;2 002;;;91,95 %;5,30 %;4,39 €;12,20 %;;trimestrielle;variable;Alimentation/restauration 34% / Santé-sport-bien-être 26% / Opportunités-tendances 27% / Services proximité 13%;Province 86% / IDF 14%;;Extraction complète BT T1 2026
SCPI Sofiprime;Sofiprime;Sofidy;to_extract_47;extracted_complete;NON;OUI;NON;2;0.9;extracted_bt_t1_2026;SOFIPRIME-BT-1T-2026.pdf;T1 2026;280 €;;;;44,9 M€;;;;79,47 %;0,54 %;1,50 € (trimestriel);21,0 %;;;fixe;;;;Extraction complète BT T1 2026
SCPI Selectipierre 2 Paris;Selectipierre 2 Paris;Fiducial Gérance;to_extract_47;extracted_complete;NON;OUI;NON;5;0.97;extracted_bt_t1_2026;selectipierre2_bt.pdf;T1 2026;773 € (depuis 01/03/2023);;652,21 €;785,00 €;466,5 M€;7 871;;67;94,89 %;4,14 %;6,50 €;6,96 %;;trimestrielle;variable;Bureaux 70,9% / Commerces 17,3% / Résidences hôtelières-étudiantes 4,5% / Logements 5,9% / Activité 1,4%;Paris 74,0% / IDF 19,3% / Régions 6,7%;;Extraction complète BT T1 2026
SCPI Sélectinvest 1;Sélectinvest 1;Fiducial Gérance;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
SCPI Rivoli Avenir Patrimoine;Rivoli Avenir Patrimoine;Amundi Immobilier;to_extract_47;extracted_complete;NON;OUI;NON;4;0.9;extracted_bs_s2_2025;rivoli_ap_bs_s2_2025.pdf (Bulletin Semestriel S2 2025);S2 2025;228 €;;;;2 927 M€;36 768;12 836 120;181;86,03 % (S2 2025) / 86,67 % (annuel 2025);3,68 % (calculé: 8,40€/228€);;931 M€ (ratio ~38,6% sur VR);5,25 % du capital au 31/12/2025;trimestrielle;variable;Bureaux 79,1% / Commerces 13,9% / Hôtels 3,3% / Logistique 3,1% / Résidences Services 0,7%;Paris 45,6% / IDF 23,4% / Régions 11,0% / Europe 20,1% (Allemagne 10,4% / Espagne 3,7% / PB 2,7% / Belgique 0,9%);;Seul le bulletin semestriel S2 2025 disponible — pas de BT T1 2026. Distribution T1 2026 prévisionnelle indiquée.
SCPI Primovie;Primovie;Praemia REIM France;to_extract_47;extracted_complete;NON;OUI;NON;4;0.95;extracted_bt_t1_2026;primovie_bt.pdf;T1 2026;164 €;;149,24 €;;4 200 M€;50 122 (approx. fin T1 2026);25 607 729;298;94,7 %;4,04 %;1,70 €;29,2 %;1 438 276;trimestrielle;variable;Santé/Sénior 78,6% / Bureaux 16,3% / Éducation 3,9% / Hôtellerie 1,2%;France hors RP 37,5% / IDF hors Paris 23,7% / Allemagne 18,5% / Italie 12,8% / Paris 4,8% / Espagne 2,0% / Belgique 0,5% / Pays-Bas 0,3%;;Extraction complète BT T1 2026
SCPI Primopierre;Primopierre;Praemia REIM France;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
SCPI Praemia Hôtels Europe;Praemia Hôtels Europe;Praemia REIM France;to_extract_47;extracted_complete;NON;OUI;NON;4;0.95;extracted_bt_t1_2026;praemia_hotels_bt.pdf;T1 2026;204 €;;170,19 €;201,43 €;252,5 M€;2 164;1 237 661;117;97,7 %;3,90 %;1,40 €;30,9 %;120 187;trimestrielle;variable;Hôtel 67,3% / Résidentiel 15,1% / Commerce 10,0% / Mixte Résidentiel-Commerce 7,6%;France hors RP 37,8% / Grèce 15,9% / Irlande 15,5% / IDF hors Paris 12,9% / Paris 7,9% / Belgique 5,5% / Espagne 4,2% / Italie 0,3%;;Anciennement Primofamily. Changement de nom et de stratégie (→ hôtellerie) acté par visa AMF du 10 fév. 2026.
SCPI Aestiam Horizon;Aestiam Horizon;Aestiam;to_extract_47;extracted_complete;NON;OUI;NON;1;0.88;extracted_bt_t1_2026;2026-1t-bti-aestiam-horizon.pdf;T1 2026;350 €;;;;non extrait;;;non extrait;non extrait;5,10 %;4,05 €;11 %;;trimestrielle;variable;;;;Extraction complète BT T1 2026
SCPI Pierval Santé;Pierval Santé;Euryale AM;to_extract_47;extracted_complete;NON;OUI;NON;1;0.93;extracted_bt_t1_2026_path_fixed;pierval_sante_bt_t1_2026_temp.pdf (copie depuis SCPI Pierval Sant/BT_PIERVAL_SANTE_2026_T1.pdf);T1 2026;204 €;;;;3,3 Mds€;;;;94,59 %;4,39 % (TRI 10 ans);1,84 €;16,39 %;;trimestrielle;variable;Médico-social 71,7% / Santé diversifiée / Europe;;;Extraction complète BT T1 2026
PERIAL O2;PERIAL O2;PERIAL AM;to_extract_47;extracted_complete;NON;OUI;NON;4;0.95;extracted_bt_t1_2026;perial_o2_bt.pdf;T1 2026;~164 € (calculé: 2 401 M€ / 14 643 842 parts);;119,24 € par part (au 30/06/2025);150,73 € par part (au 30/06/2025);2 401 M€;;14 643 842;137;86,2 %;4,65 %;1,72 €;31,2 %;;trimestrielle;variable (marché secondaire depuis avril 2026);Bureaux 85,2% / Hôtels-tourisme 6,1% / Commerces 2,7% / Santé-éducation 5,0% / Logistique 0,9%;France 76,5% (Régions 36,8% / RP 37,0% / Paris 2,7%) / PB 9,9% / Allemagne 4,4% / Italie 4,1% / Belgique 2,3% / Portugal 1,5% / Espagne 1,3%;;Extraction complète BT T1 2026
SCPI Opportunités Europe;PERIAL Opportunités Europe;PERIAL AM;to_extract_47;extracted_complete;NON;OUI;NON;4;0.95;extracted_bt_t1_2026_path_fixed;opportunites_europe_bt.pdf (copie depuis SCPI Opportunit\u00e9s Europe/BT T1 2026);T1 2026;~44 € (après division par 20 au 01/01/2026 — anciennement ~880 €);;;;790 461 980 € (~790 M€);;17 965 045 (après split ×20 au 01/01/2026);127;89,4 %;6,10 %;0,51 € par nouvelle part (versements mensuels: 0,16€+0,17€+0,18€);;;mensuelle (depuis janvier 2026);variable;Bureaux 47,7% / Hôtels-tourisme 27,3% / Commerces 18,6% / Santé-éducation 4,6% / Logistique 1,7% / Alternatifs 0,1%;France 58,7% / Pays-Bas 14,0% / Espagne 12,7% / Allemagne 12,6% / Italie 1,9%;;Extraction complète BT T1 2026
SCPI PERIAL Grand Paris;PERIAL Grand Paris;PERIAL AM;to_extract_47;extracted_complete;NON;OUI;NON;4;0.95;extracted_bt_t1_2026;perial_gp_bt.pdf;T1 2026;~458 € (calculé: 1 051 873 486 € / 2 296 667 parts);;;;1 051 873 486 € (~1,05 Mds€);;2 296 667;91;84,4 %;4,80 % (dont 1,45% de plus-values);4,17 €;;;trimestrielle;variable (marché secondaire depuis avril 2026);Bureaux 95,2% / Hôtels 1,7% / Logistique 1,9% / Commerces 1,3%;Région Parisienne 76,2% / Paris 19,6% / Régions 4,2%;;Extraction complète BT T1 2026
SCPI Patrimmo Croissance Impact;Patrimmo Croissance Impact;Praemia REIM France;to_extract_47;extracted_complete;NON;OUI;NON;4;0.95;extracted_bt_t1_2026;patrimmo_croissance_bt.pdf;T1 2026;677 €;;576,10 € (par ancienne part au 31/12/2025);699,15 € (par ancienne part au 31/12/2025);189,7 M€;1 879;280 192;64;;0 % (SCPI nue-propriété — pas de revenus distribués);0 € (pas de distribution — investissement en nue-propriété résidentielle);6,4 %;38 277;aucune (SCPI en nue-propriété — pas de distribution courante);variable;Résidentiel 97% / SCPI 3%;IDF hors Paris 36,8% / Paris 32,4% / France hors RP 28,4% / SCPI 2,4%;;Extraction complète BT T1 2026
SCPI Praemia;Patrimmo Commerce;Praemia REIM France;to_extract_47;extracted_complete;NON;OUI;NON;4;0.95;extracted_bt_t1_2026;patrimmo_commerce_bt.pdf;T1 2026;160 €;;145,60 €;;613,7 M€;6 149 (approx. T1 2026);3 835 627;193;91,0 %;3,38 %;1,25 €;24,1 %;765 342;trimestrielle;variable;Commerce 86,7% / Bureaux 11,6% / Activité-Logistique 1,7%;France hors RP 47,1% / Paris 14,2% / IDF hors Paris 12,9% / Belgique 13,8% / Pays-Bas 5,5% / Italie 3,9% / Allemagne 2,6%;;Dossier nommé SCPI Praemia — contient le BT Patrimmo Commerce. Praemia REIM France gère plusieurs SCPI sous la marque Praemia.
SCPI Novapierre 1;Novapierre 1;PAREF Gestion;to_extract_47;extracted_complete;NON;OUI;NON;5;0.95;extracted_bt_t1_2026;novapierre1_bt.pdf;T1 2026;442 €;;361,24 €;436,06 €;172,1 M€;2 370;389 384;;85,3 %;5,00 %;4,44 €;29,3 %;31 398;trimestrielle;variable;;;;Extraction complète BT T1 2026
SCPI Novaxia;Novaxia Néo;Novaxia Investissement;to_extract_47;extracted_complete;NON;OUI;NON;5;0.92;extracted_bt_t1_2026;novaxia_neo_bt.pdf;T1 2026;176,68 €;;150,41 €;187,00 €;427,9 M€;8 952;;38;90,6 %;5,50 %;;;125 194 (5,5% du total);mensuelle;variable;Bureaux ~94% / Hôtels ~4% / Activités ~1% / Enseignement ~1%;France + Europe (Pays-Bas, Espagne, Irlande, Belgique) — Paris, IDF, Madrid, Rotterdam, Dublin, Utrecht;;Extraction complète BT T1 2026
SCPI LF Opportunité Immo;LF Opportunité Immo;La Française REM;to_extract_47;extracted_complete;NON;OUI;NON;5;0.95;extracted_bt_t1_2026_path_fixed;lf_opportunite_bt.pdf (copie depuis SCPI LF Opportunit\u00e9 Immo/G0_BT_20260331.pdf);T1 2026;203 €;;174,00 €;214,64 €;313 015 444 € (~313 M€);6 023;1 541 948;;95,0 %;stable (variation prix nulle en 2025);2,28 €;;25 531 (1,7% du capital);trimestrielle;variable;;;;Extraction complète BT T1 2026
LF Grand Paris Patrimoine;LF Grand Paris Patrimoine;La Française REM;to_extract_47;extracted_complete;NON;OUI;NON;5;0.95;extracted_bt_t1_2026;lf_grand_paris_bt.pdf;T1 2026;218 €;;173,40 €;216,96 €;1 069 864 866 € (~1,07 Mds€);14 710;4 907 637;;88,1 %;;0,93 €;;499 638 (10,2% du capital);trimestrielle;variable (marché suspendu depuis 12/02/2026);;;;Extraction complète BT T1 2026
SCPI Europimmo;LF Europimmo;La Française REM;to_extract_47;extracted_complete;NON;OUI;NON;5;0.95;extracted_bt_t1_2026;europimmo_bt.pdf;T1 2026;725 €;;639,53 €;773,78 €;812 912 775 € (~813 M€);15 314;1 121 259;;95,3 %;;6,00 €;;78 222 (7% du capital);trimestrielle;variable;;;;Extraction complète BT T1 2026
SCPI Kyaneos;Kyaneos Pierre;Kyaneos AM;to_extract_47;extracted_complete;NON;OUI;NON;3;0.9;extracted_bt_t1_2026;kyaneos_bt.pdf;T1 2026;224 €;;;;445,7 M€;;;;88,9 %;4,35 %;2,44 €;;;trimestrielle;variable;;;;Extraction complète BT T1 2026
SCPI HEXA;PAREF Hexa;PAREF Gestion;to_extract_47;extracted_complete;NON;OUI;NON;5;0.95;extracted_bt_t1_2026;hexa_bt.pdf;T1 2026;172 €;;137,95 €;170,24 €;201,1 M€;3 718;1 169 445;41;84,9 %;6,00 %;3,00 € (dont 2,52€ courant + 0,48€ plus-value cession);29,1 %;19 789;trimestrielle;variable;Bureaux 65,1% / Locaux d'activité 3,9% / Logistique-Messagerie 4,8% / Autres 26,2%;Paris 25,5% / IDF hors Paris 56,0% / 12 métropoles régionales + autres régions;;Extraction complète BT T1 2026
SCPI Immorente;Immorente;Sofidy;to_extract_47;extracted_complete;NON;OUI;NON;2;0.93;extracted_bt_t1_2026;IMMORENTE-BT-1T-2026-1.pdf;T1 2026;340 €;;;;4 391 M€;;;;91,21 %;5,00 % (brut);3,51 €;19,1 %;;trimestrielle;variable;;;;Extraction complète BT T1 2026
SCPI Aestiam Agora;Aestiam Agora;Aestiam;to_extract_47;extracted_complete;NON;OUI;NON;1;0.93;extracted_bt_t1_2026;2026-1t-bti-aestiam-agora.pdf;T1 2026;922 €;;;;;;;193;91,70 %;4,50 %;8,91 €;12 %;;trimestrielle;variable;Commerces 57% / Hôtels-Séminaires 34% / Bureaux 6% / Enseignement 3%;Paris 30% / IDF 29% / Nord 8% / NE 4% / NO 3% / SE 11% / SO 4% / Europe 11% (BE 5% DE 4% ES 2%);;Extraction complète BT T1 2026
SCPI Ficommerce Proximité;Ficommerce Proximité;Fiducial Gérance;to_extract_47;extracted_complete;NON;OUI;NON;5;0.95;extracted_bt_t1_2026_path_fixed;ficommerce_bt.pdf (copie depuis SCPI FiCommerce Proximit\u00e9/BTI Ficommerce T1 2026.pdf);T1 2026;70 € (depuis 01/01/2026 — anciennement 210 €, division par 3);;173,35 € (par ancienne part au 31/12/2025 — soit ~57,78 € par nouvelle part);207,88 € (par ancienne part — soit ~69,29 € par nouvelle part);596 M€;8 120;;281;>94 % (T1 2026);5,10 %;0,83 € par nouvelle part (= 2,50 € par ancienne part — maintenu);;;trimestrielle;variable;Locaux commerciaux 84,9% / Bureaux 14,9% / Entrepôts-activités 0,2%;Régions 51,9% / Paris 25,3% / IDF 20,3% / Europe 2,5%;;Division du nominal par 3 au 01/01/2026 (anciennement 210€/part → 70€/part). Dividende maintenu en valeur absolue pour les associés.
SCPI Épargne Pierre;Épargne Pierre;Atland Voisin;to_extract_47;extracted_complete;NON;OUI;NON;2;0.93;extracted_bt_t1_2026;BPI1T2026-EP.pdf;T1 2026;208 €;;;;2 811 M€;;;;94,41 %;5,28 %;2,64 €;11,2 %;;trimestrielle;variable;;;;Extraction complète BT T1 2026
SCPI Épargne Foncière;Épargne Foncière;La Française REM;to_extract_47;extracted_complete;NON;OUI;NON;2;0.9;extracted_bt_t1_2026;EE_BT_20260331.pdf;T1 2026;670 €;;;;4 143 M€;;;;88,7 %;4,86 %;5,52 €;non extrait (faible);;trimestrielle;variable;;;;Extraction complète BT T1 2026
SCPI Efimmo 1;Efimmo 1;Sofidy;to_extract_47;extracted_complete;NON;OUI;NON;1;0.92;extracted_bt_t1_2026;EFIMMO-BT-1T-2026.pdf;T1 2026;212 €;;;;1 741 M€;21 517;;239 (1 407 unités locatives);86,02 %;4,44 %;2,00 €;22 % (364 M€);;trimestrielle;variable;;;;Extraction complète BT T1 2026
SCPI Edissimmo;Edissimmo;Amundi Immobilier;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
SCPI Cœur de Ville;Cœur de Ville;Sogenial Immobilier;to_extract_47;extracted_complete;NON;OUI;NON;2;0.92;extracted_bt_t1_2026_path_fixed;coeur_ville_bt_t1.pdf (copie depuis Bulletin-Trimestriel-1T-2026---Coeur-de-Ville.pdf);T1 2026;210 €;;;;28,8 M€;;;;97,63 %;6,20 %;3,26 €;30,23 %;;trimestrielle;variable;;;;Extraction complète BT T1 2026
SCPI Cœur de Régions;Cœur de Régions;Sogenial Immobilier;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
Crédit Mutuel Pierre 1;Crédit Mutuel Pierre 1;La Française REM;already_existing_no_create;already_in_system;NON;NON;NON;;0.8;;;Existant dans MaximusSCPI;;;;;;;;;;;;;;;;;;;Déjà présente dans MaximusSCPI
SCPI Buroboutic;Buroboutic;Theoreim;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
SCPI Atream Hôtels;Atream Hôtels;Atream;to_extract_47;extracted_complete;NON;OUI;NON;4;0.97;extracted_bt_t1_2026;atream_hotels_bt.pdf;T1 2026;1 000 €;;874,72 €;1 064,33 €;325 996 200 € (~326 M€);5 873;323 928;23 actifs hôteliers;100 %;5,05 %;12,25 €;24,23 %;;trimestrielle;variable;;France 32% / Allemagne 29% / Belgique 22% / Pays-Bas 14% + Italie (nouvelle);;Extraction complète BT T1 2026
SCPI Altixia Commerces;Altixia Commerces;Altixia REIM;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
