index;lot;nom_canonical;societe_gestion;statut_extraction;source_document;source_periode;prix_souscription;prix_retrait;valeur_realisation;valeur_reconstitution;capitalisation;nb_associes;nb_parts;nb_actifs;surface_m2;tof;taux_distribution_2025;pga_2025;tri_5ans;tri_10ans;tri_origine;dividende_brut_t1_2026;dividende_net_t1_2026;objectif_2026;endettement;parts_attente_retrait;frequence_distribution;type_capital;repartition_sectorielle_resume;repartition_geo_resume;alerte;confidence_score
11;2;Sofiprime;Sofidy;extracted_bt_t1_2026;SOFIPRIME-BT-1T-2026.pdf;T1 2026;280 €;non extrait;non extrait;non extrait;44,9 M€;non extrait;non extrait;non extrait;non extrait;79,47 %;0,54 %;non extrait;non extrait;non extrait;non extrait;1,50 €;non extrait;non extrait;21,0 %;non extrait;trimestrielle;fixe;Résidentiel parisien;Paris;TOF faible 79% / TD 0,54%;0.90
12;2;Immorente;Sofidy;extracted_bt_t1_2026;IMMORENTE-BT-1T-2026-1.pdf;T1 2026;340 €;non extrait;non extrait;non extrait;4 391 M€;non extrait;non extrait;non extrait;non extrait;91,21 %;5,00 %;non extrait;non extrait;non extrait;9,33 % (origine);3,51 €;non extrait;non extrait;19,1 %;non extrait;trimestrielle;variable;Diversifié;France + Europe;-;0.93
13;2;Épargne Pierre;Atland Voisin;extracted_bt_t1_2026;BPI1T2026-EP.pdf;T1 2026;208 €;non extrait;non extrait;non extrait;2 811 M€;non extrait;non extrait;non extrait;non extrait;94,41 %;5,28 %;non extrait;5,03 %;non extrait;non extrait;2,64 €;non extrait;non extrait;11,2 %;non extrait;trimestrielle;variable;Diversifié régional;France régions;-;0.93
14;2;Épargne Foncière;La Française REM;extracted_bt_t1_2026;EE_BT_20260331.pdf;T1 2026;670 €;non extrait;non extrait;non extrait;4 143 M€;non extrait;non extrait;non extrait;non extrait;88,7 %;4,86 %;non extrait;-0,80 %;non extrait;non extrait;5,52 €;non extrait;non extrait;non extrait;non extrait;trimestrielle;variable;Diversifié;France + Europe;TRI 5 ans négatif / Retraits élevés;0.90
15;2;Cœur Europe;Sogenial Immobilier;extracted_bt_t1_2026_path_fixed;coeur_europe_bt_t1.pdf;T1 2026;204 €;non extrait;non extrait;non extrait;256 M€;non extrait;non extrait;non extrait;non extrait;95,02 %;6,25 %;non extrait;non extrait;non extrait;non extrait;3,04 €;non extrait;non extrait;3,90 %;non extrait;trimestrielle;variable;Pan-européen diversifié;Europe;-;0.92
16;2;Cœur de Ville;Sogenial Immobilier;extracted_bt_t1_2026_path_fixed;coeur_ville_bt_t1.pdf;T1 2026;210 €;non extrait;non extrait;non extrait;28,8 M€;non extrait;non extrait;non extrait;non extrait;97,63 %;6,20 %;non extrait;4,70 %;non extrait;non extrait;3,26 €;non extrait;non extrait;30,23 %;non extrait;trimestrielle;variable;Commerce urbain;France centres-villes;-;0.92
17;2;Log In;Theoreim;extracted_bt_t1_2026;log_in_bt_t1.pdf;T1 2026;255 €;non extrait;non extrait;non extrait;240,8 M€;non extrait;non extrait;non extrait;non extrait;100 %;6,21 %;non extrait;non extrait;5 % (TRI cible 10 ans);non extrait;3,79 €;non extrait;non extrait;0 %;non extrait;trimestrielle;variable;Logistique / Entrepôts;France + Europe;-;0.93
18;2;Optimale;Consultim Asset Management;extracted_bt_t1_2026;032026-Bulletin-trimestriel.pdf;T1 2026;255 €;229,50 €;222,19 €;268,22 €;93 M€;1 626;369 491,60;39;>75 088 m²;94,25 %;6,50 %;non extrait;non extrait;non extrait;non extrait;3,84 €;non extrait;5-6 % (non garanti);17,68 %;0;mensuelle;variable;Bureaux 40,2% / Commerces 28,3% / Activités-Logistique 26,4% / Santé-Éducation 5,1%;France (carte sans détail chiffré);Capitalisation +21% sur 1 an / 0 part en attente;0.95
19;2;Cristal Life;Inter Gestion REIM;extracted_bt_t1_2026;cristal_life_bt_t1.pdf;T1 2026;208 €;non extrait;non extrait;non extrait;387,43 M€;non extrait;non extrait;non extrait;non extrait;95,57 %;6,54 %;7,51 %;non extrait;non extrait;6,55 % (lancement);3,381 €;non extrait;non extrait;non extrait;non extrait;mensuelle;variable;Diversifié;France + Europe;-;0.93
20;3;Cristal Rente;Inter Gestion REIM;extracted_bt_t1_2026;cristal_rente_bt.pdf;T1 2026;255,68 €;non extrait;non extrait;non extrait;682,95 M€;non extrait;non extrait;non extrait;non extrait;98,99 %;5,00 %;non extrait;non extrait;non extrait;5,37 % (lancement);3,196 €;non extrait;non extrait;non extrait;non extrait;trimestrielle;variable;Commerce marques;France;-;0.92
21;3;Paref Evo;Paref Gestion;extracted_bt_t1_2026;paref_evo_bt.pdf;T1 2026;250 €;225 €;213,42 €;245,04 €;49,3 M€;1 066;197 184;5;17 060 m²;87,8 %;4,72 %;non extrait;3,42 %;non extrait;non extrait;2,64 €;2,04 €;non extrait;0,0 %;840;trimestrielle;variable;Bureaux 89,4%;Pologne (Varsovie/Cracovie);-;0.92
22;3;NCap Régions;Norma Capital;extracted_bt_t1_2026_path_fixed;ncap_regions_bt.pdf;T1 2026;682 €;non extrait;non extrait;non extrait;1 097 M€;non extrait;non extrait;non extrait;non extrait;non extrait;5,72 %;7,51 %;5,44 %;non extrait;non extrait;non extrait;non extrait;non extrait;21,69 %;non extrait;mensuelle (depuis fév. 2026);variable;Diversifié régional;France régions;-;0.92
23;3;Remake Live;Remake AM;extracted_bt_t1_2026;remake_live_doc1.pdf;T1 2026;204 €;204 €;non extrait;non extrait;882 M€;non extrait;non extrait;non extrait;non extrait;99,16 %;7,05 %;non extrait;non extrait;non extrait;7,33 % (lancement);3,24 €;non extrait;non extrait;non extrait;non extrait;trimestrielle;variable;Diversifié;UK / FR / ES / NL / BE / IT;WALB 9,46 ans;0.93
24;3;Remake UK 2025;Remake AM;extracted_bt_t1_2026_partial;remake_uk_doc1.pdf;T1 2026 (BT N°2);non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;48,40 € (brut);21,00 € (net);non extrait;non extrait;non extrait;trimestrielle;variable (durée limitée);Diversifié UK;Royaume-Uni uniquement;SCPI durée statutaire 7 ans jusqu'en 2032 / Risque change EUR/GBP;0.75
25;3;Alta Convictions;Altarea Investment Managers;extracted_bt_t1_2026;alta_convictions_bt.pdf;T1 2026;308 €;non extrait;non extrait;non extrait;121 M€;non extrait;non extrait;non extrait;non extrait;96 %;6,57 %;non extrait;non extrait;non extrait;non extrait;5,16 €;non extrait;non extrait;non extrait;non extrait;mensuelle (depuis avr. 2026);variable;Logistique / Bureaux / Commerce;France + Europe;-;0.92
26;3;Wemo One;Wemo REIM;extracted_bt_t1_2026;wemo_one_bt.pdf;T1 2026;200 € (210 € dès avr. 2026);non extrait;non extrait;non extrait;121,9 M€;non extrait;non extrait;non extrait;non extrait;100 %;15,27 % (SCPI jeune 2024);non extrait;non extrait;non extrait;non extrait;6,95 € (cumulé T1);non extrait;10 % (non garanti);non extrait;non extrait;mensuelle;variable;Bureaux / Commerce;France (petits actifs);TD élevé lié à la jeunesse — SMART CAPS;0.88
27;3;Kyaneos Pierre;Kyaneos AM;extracted_bt_t1_2026;kyaneos_bt.pdf;T1 2026;224 €;non extrait;non extrait;non extrait;445,7 M€;non extrait;non extrait;non extrait;non extrait;88,9 %;4,35 %;non extrait;non extrait;non extrait;non extrait;2,44 €;non extrait;non extrait;non extrait;non extrait;trimestrielle;variable;Résidentiel nue-propriété;France;-;0.90
28;3;Epsicap Nano;Epsicap;extracted_bt_t1_2026;epsicap_nano_bt.pdf;T1 2026;257 €;non extrait;non extrait;non extrait;>200 M€;non extrait;non extrait;non extrait;non extrait;non extrait;6,08 %;8,27 %;non extrait;non extrait;non extrait;4,50 €;non extrait;non extrait;non extrait;non extrait;mensuelle;variable;Diversifié international;International (Écosse / Pologne / Europe);-;0.92
29;4;Primovie;Praemia REIM France;extracted_bt_t1_2026;primovie_bt.pdf;T1 2026;164 €;141,40 €;149,24 €;non extrait;4 200 M€;~50 122;25 607 729;298;1 711 648 m²;94,7 %;4,04 %;-7,31 %;-1,19 %;+2,84 %;non extrait;1,70 €;non extrait;non extrait;29,2 %;1 438 276;trimestrielle;variable;Santé-Sénior 78,6% / Bureaux 16%;France + DE + IT + ES + BE + NL;PGA -7,31% / Fonds remboursement actif;0.95
30;4;Patrimmo Commerce;Praemia REIM France;extracted_bt_t1_2026;patrimmo_commerce_bt.pdf;T1 2026;160 €;126,80 €;145,60 €;non extrait;613,7 M€;~6 149;3 835 627;193;194 136 m²;91,0 %;3,38 %;-5,71 %;-2,06 %;+1,90 %;non extrait;1,25 €;non extrait;non extrait;24,1 %;765 342;trimestrielle;variable;Commerce 86,7% / Bureaux 11,6%;France 75% / Belgique 13,8% / PB 5,5%;PGA -5,71% / Retraits élevés / Fonds remboursement;0.95
31;4;Patrimmo Croissance Impact;Praemia REIM France;extracted_bt_t1_2026;patrimmo_croissance_bt.pdf;T1 2026;677 €;597,38 €;576,10 €;699,15 €;189,7 M€;1 879;280 192;64;34 674 m²;0 % (nue-propriété);0 % (nue-propriété);-7,68 %;non extrait;non extrait;non extrait;0 € (pas de distribution);non extrait;non extrait;6,4 %;38 277;aucune (nue-propriété);variable;Résidentiel 97%;IDF 70% / France régions 28%;PGA -7,68% / Parts en attente élevées / Aucune distribution;0.95
32;4;Rivoli Avenir Patrimoine;Amundi Immobilier;extracted_bs_s2_2025;rivoli_ap_bs_s2_2025.pdf;S2 2025;228 €;209,78 €;non extrait;non extrait;2 927 M€;36 768;12 836 120;181;606 761 m²;86,03 % (S2 2025);3,68 % (calculé);non extrait;non extrait;non extrait;non extrait;2,10 € (prév. T1 2026);non extrait;non extrait;38,6 % (estimé);5,25% du capital;trimestrielle;variable;Bureaux 79,1% / Commerces 13,9%;Paris 45,6% / IDF 23,4% / Europe 20,1%;Distribution en baisse / Bureaux IDF difficile;0.90
33;4;PERIAL O2;PERIAL AM;extracted_bt_t1_2026;perial_o2_bt.pdf;T1 2026;~164 € (calculé);non extrait;119,24 €;150,73 €;2 401 M€;non extrait;14 643 842;137;948 924 m²;86,2 %;4,65 %;4,65 %;non extrait;non extrait;4,39 % (origine);1,72 €;1,65 €;6,50 € ann. (non garanti);31,2 %;non extrait;trimestrielle;variable (marché secondaire avr. 2026);Bureaux 85,2% / Hôtels 6,1%;France 76,5% / PB 9,9% / DE 4,4%;Variabilité suspendue / Marché secondaire actif;0.95
34;4;PERIAL Grand Paris;PERIAL AM;extracted_bt_t1_2026;perial_gp_bt.pdf;T1 2026;~458 € (calculé);non extrait;non extrait;non extrait;1 052 M€;non extrait;2 296 667;91;296 236 m²;84,4 %;4,80 %;4,80 %;non extrait;non extrait;9,43 % (origine);4,17 €;non extrait;20 € ann. (non garanti);non extrait;non extrait;trimestrielle;variable (marché secondaire avr. 2026);Bureaux 95,2%;RP 76,2% / Paris 19,6%;Variabilité suspendue / Distribution en baisse;0.95
35;4;PERIAL Opportunités Europe;PERIAL AM;extracted_bt_t1_2026_path_fixed;opportunites_europe_bt.pdf;T1 2026;~44 € (après split ×20);non extrait;non extrait;non extrait;790 M€;non extrait;17 965 045;127;370 395 m²;89,4 %;6,10 %;6,10 %;non extrait;non extrait;7,32 % (origine);0,51 €;non extrait;non extrait;non extrait;non extrait;mensuelle (depuis jan. 2026);variable;Bureaux 47,7% / Hôtels 27,3% / Commerces 18,6%;France 58,7% / PB 14% / ES 12,7% / DE 12,6%;Split ×20 au 01/01/2026;0.95
36;4;Praemia Hôtels Europe;Praemia REIM France;extracted_bt_t1_2026;praemia_hotels_bt.pdf;T1 2026;204 €;173,72 €;170,19 €;201,43 €;252,5 M€;2 164;1 237 661;117;90 499 m²;97,7 %;3,90 %;+3,90 %;+2,42 %;non extrait;non extrait;1,40 €;non extrait;non extrait;30,9 %;120 187;trimestrielle;variable;Hôtel 67,3% / Résidentiel 15,1%;France 38% / Grèce 16% / Irlande 15%;Pivot hôtellerie (ex-Primofamily) / Fonds remboursement;0.95
37;4;Atream Hôtels;Atream;extracted_bt_t1_2026;atream_hotels_bt.pdf;T1 2026;1 000 €;900 €;874,72 €;1 064,33 €;326 M€;5 873;323 928;23;non extrait;100 %;5,05 %;5,05 %;2,69 %;non extrait;non extrait;12,25 €;non extrait;non extrait;24,23 %;0;trimestrielle;variable;Hôtels 100%;France 32% / DE 29% / BE 22% / PB 14%;TOF 100% / WALB 11,8 ans;0.97
38;5;PAREF Hexa;PAREF Gestion;extracted_bt_t1_2026;hexa_bt.pdf;T1 2026;172 €;154,80 €;137,95 €;170,24 €;201,1 M€;3 718;1 169 445;41;148 481 m²;84,9 %;6,00 %;-12,10 %;0,41 %;3,05 %;non extrait;3,00 €;non extrait;non extrait;29,1 %;19 789;trimestrielle;variable;Bureaux 65,1% / Activité 4%;Paris 25,5% / IDF hors Paris 56%;PGA -12,10% / TRI 5 ans 0,41%;0.95
39;5;Novapierre 1;PAREF Gestion;extracted_bt_t1_2026;novapierre1_bt.pdf;T1 2026;442 €;406,64 €;361,24 €;436,06 €;172,1 M€;2 370;389 384;non extrait;non extrait;85,3 %;5,00 %;5,00 %;3,35 %;3,99 %;non extrait;4,44 €;non extrait;non extrait;29,3 %;31 398;trimestrielle;variable;Commerce 84,9%;France;-;0.95
40;5;LF Opportunité Immo;La Française REM;extracted_bt_t1_2026_path_fixed;lf_opportunite_bt.pdf;T1 2026;203 €;184,73 €;174,00 €;214,64 €;313 M€;6 023;1 541 948;non extrait;non extrait;95,0 %;non extrait;non extrait;non extrait;non extrait;non extrait;2,28 €;non extrait;5,05-5,25 % (non garanti);non extrait;25 531;trimestrielle;variable;Bureaux / Logistique / Activité;France + Europe;Délai jouissance 6 mois;0.95
41;5;LF Grand Paris Patrimoine;La Française REM;extracted_bt_t1_2026;lf_grand_paris_bt.pdf;T1 2026;218 €;200,56 €;173,40 €;216,96 €;1 070 M€;14 710;4 907 637;non extrait;non extrait;88,1 %;non extrait;non extrait;non extrait;non extrait;non extrait;0,93 €;non extrait;non extrait;non extrait;499 638;trimestrielle;variable (marché suspendu);Bureaux 95%+;Île-de-France;Marché suspendu / Distribution -65% / 10,2% retraits;0.95
42;5;LF Europimmo;La Française REM;extracted_bt_t1_2026;europimmo_bt.pdf;T1 2026;725 €;667 €;639,53 €;773,78 €;813 M€;15 314;1 121 259;non extrait;non extrait;95,3 %;non extrait;non extrait;non extrait;non extrait;non extrait;6,00 €;non extrait;non extrait;non extrait;78 222;trimestrielle;variable;Bureaux Europe;Europe;Prix -23,28% en 2025 / Collecte à l'arrêt;0.95
43;5;Novaxia Néo;Novaxia Investissement;extracted_bt_t1_2026;novaxia_neo_bt.pdf;T1 2026;176,68 €;non extrait;150,41 €;187,00 €;427,9 M€;8 952;non extrait;38;226 969 m²;90,6 %;5,50 %;5,50 %;7,08 %;non extrait;non extrait;1,80 € (net);non extrait;>5 % (non garanti);32,8 % (LTV net trésorerie);125 194;mensuelle;variable;Bureaux ~94%;France + Europe (NL / ES / IE);Article 9 SFDR / Label ISR 2020;0.92
44;5;Ficommerce Proximité;Fiducial Gérance;extracted_bt_t1_2026_path_fixed;ficommerce_bt.pdf;T1 2026;70 € (depuis 01/01/2026 — div. ×3);non extrait;173,35 € (anc. part);207,88 € (anc. part);596 M€;8 120;non extrait;281;233 291 m²;>94 %;5,10 %;non extrait;non extrait;non extrait;non extrait;0,83 € (= 2,50 € anc.);non extrait;non extrait;non extrait;non extrait;trimestrielle;variable;Commerce 84,9% / Bureaux 14,9%;Régions 51,9% / Paris 25,3%;Division nominale ×3 au 01/01/2026;0.95
45;5;Selectipierre 2 Paris;Fiducial Gérance;extracted_bt_t1_2026;selectipierre2_bt.pdf;T1 2026;773 €;non extrait;652,21 €;785,00 €;466,5 M€;7 871;non extrait;67;63 227 m²;94,89 %;4,14 %;non extrait;non extrait;non extrait;non extrait;6,50 €;non extrait;non extrait;6,96 %;non extrait;trimestrielle;variable;Bureaux 70,9% / Commerces 17%;Paris 74% / IDF 19%;Création 1978 / Victoires Pierre Papier 2026;0.97
46;5;Altixia Cadence XII;Altixia REIM;extracted_bt_t1_2026;altixia_cadence12_doc1.pdf;T1 2026;200 €;182 €;163,80 €;199,40 €;190,4 M€;2 448;non extrait;non extrait;non extrait;92,5 %;5,15 %;5,15 %;3,75 %;non extrait;non extrait;2,50 €;non extrait;5,00-5,20 % (non garanti);10,99 %;0;mensuelle;variable;Diversifié;France + ES + IE;Parts en attente : 0;0.93
