scpi_name,field,old_value,new_value,unit,source_document,extract,status,comment
Altixia Cadence 12,niveau_risque_dic,,,1-7,,DIC absent du lot ; ISR/SRRI non chiffré dans le BT,manual_review,DIC absent du lot ; ISR/SRRI non chiffré dans le BT
Altixia Cadence 12,duree_placement,9,9,ans,doc1-20260430-122013.pdf,DURÉE DÉTENTION RECOMMANDÉE 9 ans,verified,
Altixia Cadence 12,frais_souscription,10.8,9,% HT,doc1-20260430-122013.pdf,"COMMISSION DE SOUSCRIPTION : 9 % HT, soit 10,8 % TTC",verified,
Altixia Cadence 12,frais_gestion,10,10,% HT,doc1-20260430-122013.pdf,"COMMISSION DE GESTION : 10 % HT, soit 12 % TTC",verified,
Altixia Commerces,prix_souscription,203,203,EUR,doc1-20260430-110640.pdf,PRIX DE SOUSCRIPTION 203€ par part,verified,
Altixia Commerces,prix_retrait,197.92,197.92,EUR,doc1-20260430-110640.pdf,"VALEUR DE RETRAIT 197,92€ par part",verified,
Altixia Commerces,taux_distribution,5.12,5.0,%,doc1-20260430-110640.pdf,"TAUX DE DISTRIBUTION 2025 5,0%",verified,"ancienne valeur 5,12 à corriger en 5,0"
Altixia Commerces,capitalisation,107.64,107.08,MEUR,doc1-20260430-110640.pdf,CAPITALISATION 107 084 530€ au 31.03.2026,verified,
Altixia Commerces,tof,90.77,89.1,%,doc1-20260430-110640.pdf,"TAUX D'OCCUPATION FINANCIER 89,1%",verified,
Altixia Commerces,endettement,5.1,14.3,%,doc1-20260430-110640.pdf,"DETTES ET ENGAGEMENTS 14,3%",verified,"ancienne valeur 5,1 à corriger en 14,3"
Altixia Commerces,nb_associes,,1022,associés,doc1-20260430-110640.pdf,NOMBRE D'ASSOCIÉS 1 022,verified,
Altixia Commerces,nb_immeubles,,22,actifs,doc1-20260430-110640.pdf,NOMBRE D'ACTIFS 22,verified,
Altixia Commerces,nb_locataires,,73,locataires,doc1-20260430-110640.pdf,NOMBRE DE LOCATAIRES 73,verified,
Altixia Commerces,repartition_geo,"{'Régions': 62, 'Ile-de-France': 29, 'Paris': 9}","{'Régions': 65, 'Ile-de-France': 27, 'Paris': 8}",%,doc1-20260430-110640.pdf,"Régions 65%, Ile-de-France 27%, Paris 8%",verified,
Altixia Commerces,repartition_sectorielle,"{'Commerces en retail park': 58, ""Commerces en pied d'immeuble"": 38, 'Bureaux et activités': 4}","{'Commerces en retail park': 61, ""Commerces de pied d'immeuble"": 35, 'Bureaux': 2, 'Activités': 2}",%,doc1-20260430-110640.pdf,"Commerces en retail Park 61%, Commerces de pied d'immeuble 35%, Bureaux 2%, Activités 2%",verified,
Altixia Commerces,liquidite,,parts en attente de retrait: 13 559,,doc1-20260430-110640.pdf,Parts en attente de retrait 13 559 (31-03-2026),verified,volume notable de parts en attente
Altixia Commerces,frequence_distribution,Trimestriel,trimestrielle,,doc1-20260430-110640.pdf,"La distribution des revenus est trimestrielle ; 2,04€ brut par part au 1T 2026",verified,
Altixia Commerces,sfdr_article,,,,,DIC absent du lot ; SFDR non précisé dans le BT (SCPI labellisée ISR),manual_review,DIC absent du lot ; SFDR non précisé dans le BT (SCPI labellisée ISR)
Altixia Commerces,niveau_risque_dic,,,1-7,,DIC absent du lot ; SRRI non chiffré dans le BT,manual_review,DIC absent du lot ; SRRI non chiffré dans le BT
Altixia Commerces,duree_placement,9,9,ans,doc1-20260430-110640.pdf,DURÉE DÉTENTION RECOMMANDÉE 9 ans,verified,
Altixia Commerces,frais_souscription,3,2.5,% HT,doc1-20260430-110640.pdf,"COMMISSION DE SOUSCRIPTION : 2,5 % HT, soit 3 % TTC",verified,
Altixia Commerces,frais_gestion,15,15,% HT,doc1-20260430-110640.pdf,"COMMISSION DE GESTION : 15 % HT, soit 18 % TTC",verified,
Atream Hotel,prix_souscription,1000,1000,EUR,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,"Prix de souscription 1 000,00 € au 31/03/2026",verified,
Atream Hotel,prix_retrait,900.00,900,EUR,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,"Valeur de retrait 900,00 €",verified,
Atream Hotel,taux_distribution,5.05,5.05,%,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,"Performances 2025 : Taux de Distribution brute 5,05 %",verified,
Atream Hotel,capitalisation,325996200326,325.99,MEUR,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,Capitalisation 325 996 200 € au 31/03/2026,verified,ancienne valeur du dataset (325996200326) aberrante
Atream Hotel,tof,100,100,%,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,Taux d'occupation financier ASPIM T1 2026 : 100 %,verified,
Atream Hotel,endettement,24.23,24.23,%,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,"Ratio d'endettement 24,23 % au 31/03/2026",verified,
Atream Hotel,nb_associes,5873,5873,associés,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,Nombre d'associés 5 873,verified,
Atream Hotel,nb_immeubles,23,23,actifs,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,23 Actifs / 2 594 Chambres,verified,
Atream Hotel,nb_locataires,,,,,BT donne enseignes (14) et chambres (2594) mais pas un nombre de locataires explicite,manual_review,BT donne enseignes (14) et chambres (2594) mais pas un nombre de locataires explicite
Atream Hotel,repartition_geo,"{'France': 33, 'Allemagne': 30, 'Belgique': 23, 'Pays-Bas': 14}","{'France': 32, 'Allemagne': 29, 'Belgique': 22, 'Pays-Bas': 14, 'Italie': 3}",%,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,"France 32%, Allemagne 29%, Belgique 22%, Pays-Bas 14%, Italie 3%",verified,
Atream Hotel,repartition_sectorielle,"{'Hôtels': 71, ""Autres types d'hébergements touristiques"": 29}","{'Hôtels': 71, ""Autres types d'hébergements touristiques"": 29}",%,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,"Hôtels 71%, Autres types d'hébergements touristiques 29%",verified,
Atream Hotel,liquidite,,RAS / retraits compensés,,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,Parts compensant les retraits 1 797 (T1 2026) ; pas de parts en attente mentionnées,verified,
Atream Hotel,frequence_distribution,Trimestriel,trimestrielle,,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,"Dividende brut 1T 2026 : 12,25 €/part ; distribution trimestrielle",verified,
Atream Hotel,sfdr_article,,8,,2026-03-11-DIC-PRIIPS-ATREAM-HOTELS-1.pdf,La SCPI promeut des critères environnementaux et sociaux au sens de l'article 8 du règlement européen dit Disclosure ou SFDR,verified,
Atream Hotel,niveau_risque_dic,,3,1-7,2026-03-11-DIC-PRIIPS-ATREAM-HOTELS-1.pdf,Nous avons classé ce produit dans la classe de risque 3 sur 7,verified,
Atream Hotel,duree_placement,10,10,ans,2026-03-11-DIC-PRIIPS-ATREAM-HOTELS-1.pdf,durée de placement minimale recommandée est de 10 ans,verified,
Atream Hotel,frais_souscription,12,10,% HT,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,"commission de souscription de 10 % HT (100 euros), soit 12 % TTC",verified,
Atream Hotel,frais_gestion,10,,,,"commission de gestion non chiffrée en %HT dans BT/DIC (DIC indique 1,44% de coûts récurrents PRIIPS, ce n'est pas la commission de gestion)",manual_review,"commission de gestion non chiffrée en %HT dans BT/DIC (DIC indique 1,44% de coûts récurrents PRIIPS, ce n'est pas la com"
Buroboutic Métropoles,prix_souscription,230,77,EUR,BTI Buroboutic T1 2026.pdf,Prix de souscription à compter du 01.01.2026 : 77 € (suite à division par 3 du nominal),verified,split par 3 le 01.01.2026 : ancienne valeur 230€ -> 77€
Buroboutic Métropoles,prix_retrait,207.00,69.3,EUR,BTI Buroboutic T1 2026.pdf,"Prix de retrait : 69,30 € (suite à la division du prix de part le 01.01.2026)",verified,"ancienne valeur 207€ -> 69,30€ après split"
Buroboutic Métropoles,taux_distribution,5.07,5.1,%,BTI Buroboutic T1 2026.pdf,"le taux de distribution (TD) 2025 s'est établi à 5,10 %",verified,
Buroboutic Métropoles,capitalisation,318.5,316,MEUR,BTI Buroboutic T1 2026.pdf,Capitalisation 316 M€,verified,"260,6 M€ = actifs détenus en direct ; capitalisation totale = 316 M€"
Buroboutic Métropoles,tof,97.17,93.85,%,BTI Buroboutic T1 2026.pdf,"Taux d'Occupation Financier 1er trimestre 2026 : 93,85 %",verified,
Buroboutic Métropoles,endettement,23.1,0,%,BTI Buroboutic T1 2026.pdf,Taux d'endettement au 31.03.2026 : 0 %,verified,"ancienne valeur 23,1 à corriger : endettement nul au 31.03.2026"
Buroboutic Métropoles,nb_associes,,6779,associés,BTI Buroboutic T1 2026.pdf,Associés 6 779,verified,
Buroboutic Métropoles,nb_immeubles,,161,immeubles,BTI Buroboutic T1 2026.pdf,Immeubles 161,verified,
Buroboutic Métropoles,nb_locataires,,263,locataires,BTI Buroboutic T1 2026.pdf,Nombre de locataires 263,verified,
Buroboutic Métropoles,repartition_geo,"{'Régions': 53.3, 'Ile-de-France': 31.9, 'Paris': 14.8}","{'Régions': 53.6, 'Ile-de-France': 30.6, 'Paris': 15.8}",%,BTI Buroboutic T1 2026.pdf,"Régions 53,6%, Ile-de-France 30,6%, Paris 15,8%",verified,
Buroboutic Métropoles,repartition_sectorielle,"{'Locaux commerciaux': 50.8, 'Bureaux': 32.2, ""Locaux d'activités"": 17}","{'Locaux commerciaux': 52.6, 'Bureaux': 31.8, ""Locaux d'activités"": 15.6}",%,BTI Buroboutic T1 2026.pdf,"Locaux commerciaux 52,6%, Bureaux 31,8%, Locaux d'activités 15,6%",verified,
Buroboutic Métropoles,liquidite,,parts en attente de retrait: 314 596,,BTI Buroboutic T1 2026.pdf,314 596 parts en attente de retrait au 31 mars 2026 ; 180 parts échangées de gré à gré,verified,liquidité fortement tendue : volume très élevé de parts en attente
Buroboutic Métropoles,frequence_distribution,Trimestriel,trimestrielle,,BTI Buroboutic T1 2026.pdf,"Acomptes trimestriels ; 0,90 €/part au 1er trimestre 2026",verified,
Buroboutic Métropoles,sfdr_article,,8,,BTI Buroboutic T1 2026.pdf,La SCPI BUROBOUTIC est classée Article 8 au sens du Règlement (UE) 2019/2088 dit SFDR,verified,
Buroboutic Métropoles,niveau_risque_dic,,3,1-7,DIC BUROBOUTIC 31.12.2024.pdf,Nous avons classé ce produit dans la classe de risque 3 sur 7,verified,
Buroboutic Métropoles,duree_placement,8,8,ans,BTI Buroboutic T1 2026.pdf,La durée de placement recommandée est de 8 ans,verified,
Buroboutic Métropoles,frais_souscription,12,10,% HT,BTI Buroboutic T1 2026.pdf,Commission de souscription : 10 % HT (12 % TTC),verified,
Buroboutic Métropoles,frais_gestion,9.5,9.5,% HT,BTI Buroboutic T1 2026.pdf,"Commission de gestion : 9,5 % HT (11,4 % TTC) des produits locatifs encaissés HT et produits financiers nets",verified,
Coeur d'Europe,prix_souscription,204,204,EUR,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,Prix de souscription 204 €,verified,
Coeur d'Europe,prix_retrait,176.00,179.52,EUR,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,"Valeur de retrait 179,52 €",verified,"ancienne valeur 176 à corriger en 179,52"
Coeur d'Europe,taux_distribution,6.25,6.25,%,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,"Taux de distribution 2025 brut 6,25 % (5,23 % net de fiscalité étrangère)",verified,
Coeur d'Europe,capitalisation,256,256.2,MEUR,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,Capitalisation 256 202 172 € au 31/03/2026,verified,
Coeur d'Europe,tof,95.02,95.02,%,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,"Taux d'occupation financier 95,02 %",verified,
Coeur d'Europe,endettement,3.9,3.9,%,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,"Endettement / Dettes et autres engagements 3,90 %",verified,
Coeur d'Europe,nb_associes,,7575,associés,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,Nombre d'associés 7 575 au 31/03/2026,verified,
Coeur d'Europe,nb_immeubles,,41,biens immobiliers,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,41 Biens immobiliers,verified,
Coeur d'Europe,nb_locataires,,132,entreprises locataires,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,132 Entreprises locataires,verified,
Coeur d'Europe,repartition_geo,"{'Portugal': 36.8, 'Espagne': 35.9, 'Belgique': 20.4, 'Allemagne': 6.9}","{'Espagne': 43.8, 'Portugal': 33.5, 'Belgique': 15.5, 'Allemagne': 7.2}",%,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,"Espagne 43,8%, Portugal 33,5%, Belgique 15,5%, Allemagne 7,2%",verified,répartition mise à jour vs ancien dataset
Coeur d'Europe,repartition_sectorielle,"{'Commerces': 54.32, 'Bureaux': 26.68, ""Logistique et locaux d'activités"": 14.62, 'Santé et éducatio","{'Commerces': 47.2, ""Logistique et locaux d'activités"": 29.33, 'Bureaux': 20.16, 'Santé et éducation",%,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,"Commerces 47,20%, Logistique et locaux d'activités 29,33%, Bureaux 20,16%, Santé et éducation 3,31%",verified,
Coeur d'Europe,liquidite,,parts en attente de retrait: 0,,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,0 part en attente de retrait et part cédée de gré à gré,verified,
Coeur d'Europe,frequence_distribution,Trimestriel,trimestrielle,,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,"Dividende brut versé au titre du 1er trimestre 2026 : 3,04 € par part",verified,
Coeur d'Europe,sfdr_article,,8,,Coeur-dEurope-DIC.pdf,La SCPI CŒUR D'EUROPE est un produit classé Article 8 en application du règlement UE 2019/2088 dit Disclosure,verified,
Coeur d'Europe,niveau_risque_dic,,3,1-7,Coeur-dEurope-DIC.pdf,Nous avons classé le produit dans la classe de risque 3 sur 7,verified,
Coeur d'Europe,duree_placement,10,10,ans,Coeur-dEurope-DIC.pdf,durée de placement recommandée est de 10 ans,verified,
Coeur d'Europe,frais_souscription,12,12,% TTC,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,"Commission de souscription (12 % TTC) 24,48 €",verified,12% TTC (~10% HT)
Coeur d'Europe,frais_gestion,10,,,,commission de gestion non chiffrée en %HT dans BT/DIC,manual_review,commission de gestion non chiffrée en %HT dans BT/DIC
Coeur de Région,prix_souscription,664,664,EUR,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,Prix de souscription 664 €,verified,
Coeur de Région,prix_retrait,584.32,584.32,EUR,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Valeur de retrait 584,32 €",verified,
Coeur de Région,taux_distribution,6.2,6.2,%,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Taux de distribution 2025 6,20 %",verified,
Coeur de Région,capitalisation,415.79,435.63,MEUR,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,Capitalisation 435 631 144 € au 31/03/2026,verified,"ancienne valeur 415,79 obsolète"
Coeur de Région,tof,95.16,95.03,%,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Taux d'occupation financier 95,03 %",verified,
Coeur de Région,endettement,8.53,9.88,%,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Endettement / Dettes et autres engagements 9,88 %",verified,"ancienne valeur 8,53 mise à jour"
Coeur de Région,nb_associes,,10051,associés,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,Nombre d'associés 10 051,verified,
Coeur de Région,nb_immeubles,82,93,biens immobiliers,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,93 Biens immobiliers,verified,ancienne valeur 82 obsolète
Coeur de Région,nb_locataires,,198,entreprises locataires,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,198 Entreprises locataires,verified,
Coeur de Région,repartition_geo,"{'Régions': 86, 'Île-de-France': 14}","{'Régions': 86.7, 'Île-de-France': 13.3}",%,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Régions 86,7%, Île-de-France 13,3%",verified,
Coeur de Région,repartition_sectorielle,"{'Bureaux': 51.08, 'Commerces': 29.62, ""Logistique et locaux d'activités"": 17.47, 'Santé et éducatio","{'Bureaux': 45.97, 'Commerces': 31.4, ""Logistique et locaux d'activités"": 21.35, 'Santé et éducation",%,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Bureaux 45,97%, Commerces 31,40%, Logistique et locaux d'activités 21,35%, Santé et éducation 1,23%, Alternatifs 0,05%",verified,
Coeur de Région,liquidite,,parts en attente de retrait: 0,,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,0 part en attente de retrait et part cédée de gré à gré,verified,
Coeur de Région,frequence_distribution,Trimestriel,trimestrielle,,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Dividende 1T 2026 : 10,29 € par part ; distribution trimestrielle",verified,
Coeur de Région,sfdr_article,,8,,Coeur-de-Regions-DIC.pdf,La SCPI CŒUR DE REGIONS est un produit classé Article 8 en application du règlement UE 2019/2088 dit Disclosure,verified,
Coeur de Région,niveau_risque_dic,,3,1-7,Coeur-de-Regions-DIC.pdf,Nous avons classé le produit dans la classe de risque 3 sur 7,verified,
Coeur de Région,duree_placement,10,10,ans,Coeur-de-Regions-DIC.pdf,durée de placement recommandée est de 10 ans,verified,
Coeur de Région,frais_souscription,12,12,% TTC,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Commission de souscription (12 % TTC) 79,68 €",verified,12% TTC (~10% HT)
Coeur de Région,frais_gestion,10,,,,commission de gestion non chiffrée en %HT dans BT/DIC,manual_review,commission de gestion non chiffrée en %HT dans BT/DIC
Coeur de ville,prix_souscription,210,210,EUR,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Ville.pdf,Prix de souscription 210 € ; Prix de la part fixé à 210 €,verified,
Coeur de ville,prix_retrait,184.80,184.8,EUR,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Ville.pdf,"Valeur de retrait 184,80 €",verified,
