nom,champ,avant,apres,source,extrait
Aestiam Horizon,nb_immeubles,149,146,2026-1t-bti-aestiam-horizon.pdf,146 Biens immobiliers
Aestiam Horizon,nb_locataires,None,217,2026-1t-bti-aestiam-horizon.pdf,217 Locataires
Aestiam Horizon,repartition_geo,"{'Paris': 20, 'Région Parisienne': 30, 'Régions': 39, 'Etranger': 11}","{'IDF': 29, 'Paris': 21, 'Sud-Est': 12, 'Sud-Ouest': 12, 'Europe': 12, 'Nord-Oue",2026-1t-bti-aestiam-horizon.pdf,"Paris 21%, IDF 29%, Nord 5%, Nord-Ouest 8%, Nord-Est 1%, Sud-Est 12%, Sud-Ouest 12%, Europe 12% (dont 9% Luxembourg, 2% Belgique, 1% Allemagne)"
Aestiam Horizon,repartition_sectorielle,"{'Bureaux': 76, 'Commerces': 16, 'Hôtels': 2, 'Enseignement': 4, ""Locaux d'activ","{'Bureaux': 76, 'Commerces': 16, 'Hôtels': 4, ""Locaux d'activités"": 2, 'Enseigne",2026-1t-bti-aestiam-horizon.pdf,"Bureaux 76%, Commerces 16%, Hôtels 4%, Locaux d'activités 2%, Enseignement 2%"
Aestiam Horizon,liquidite,None,parts en attente de retrait: 44 872,2026-1t-bti-aestiam-horizon.pdf,"Parts en attente de retraits : 44 872 (T1 2026) ; fonds de remboursement doté 1,3 M€ ; 4 765 parts annulées via fonds de remboursement"
Aestiam Horizon,frequence_distribution,Trimestriel,trimestrielle,2026-1t-bti-aestiam-horizon.pdf,"Dividende brut par part au 1er trimestre 2026 : 4,05 € ; distribution trimestrielle"
Aestiam Horizon,sfdr_article,None,8,AestiamHorizon-DIC.pdf,Aestiam Horizon relève de l'article 8 du Règlement (UE) 2019/2088 dit SFDR
Aestiam Horizon,niveau_risque_dic,None,3,AestiamHorizon-DIC.pdf,Nous avons classé ce produit dans la classe de risque 3 sur 7
Aestiam Horizon,frais_souscription,12,10,2026-1t-bti-aestiam-horizon.pdf,Commission de souscription 10 % HT du prix de souscription
Aestiam Horizon,maximus_warnings,,Liquidité : parts en attente de retrait: 44 872,2026-1t-bti-aestiam-horizon.pdf,parts en attente de retrait: 44 872
Altixia Cadence 12,prix_retrait,182.00,182,doc1-20260430-122013.pdf,VALEUR DE RETRAIT 182€ par part
Altixia Cadence 12,capitalisation,190356200190.4,190.36,doc1-20260430-122013.pdf,CAPITALISATION 190 356 200€ au 31.03.2026
Altixia Cadence 12,nb_locataires,None,95,doc1-20260430-122013.pdf,NOMBRE DE LOCATAIRES 95
Altixia Cadence 12,liquidite,None,parts en attente de retrait: 0,doc1-20260430-122013.pdf,"PARTS EN ATTENTE DE RETRAIT 0 ; Au 31 mars 2026, il n'y avait pas de parts en attente de retrait"
Altixia Cadence 12,frequence_distribution,Mensuel,mensuelle,doc1-20260430-122013.pdf,La distribution des revenus est mensuelle
Altixia Cadence 12,frais_souscription,10.8,9,doc1-20260430-122013.pdf,"COMMISSION DE SOUSCRIPTION : 9 % HT, soit 10,8 % TTC"
Altixia Cadence 12,maximus_warnings,,Liquidité : parts en attente de retrait: 0,doc1-20260430-122013.pdf,parts en attente de retrait: 0
Altixia Commerces,prix_retrait,197.92,197.92,doc1-20260430-110640.pdf,"VALEUR DE RETRAIT 197,92€ par part"
Altixia Commerces,taux_distribution,5.12,5.0,doc1-20260430-110640.pdf,"TAUX DE DISTRIBUTION 2025 5,0%"
Altixia Commerces,capitalisation,107.64,107.08,doc1-20260430-110640.pdf,CAPITALISATION 107 084 530€ au 31.03.2026
Altixia Commerces,tof,90.77,89.1,doc1-20260430-110640.pdf,"TAUX D'OCCUPATION FINANCIER 89,1%"
Altixia Commerces,endettement,5.1,14.3,doc1-20260430-110640.pdf,"DETTES ET ENGAGEMENTS 14,3%"
Altixia Commerces,nb_associes,None,1022,doc1-20260430-110640.pdf,NOMBRE D'ASSOCIÉS 1 022
Altixia Commerces,nb_immeubles,None,22,doc1-20260430-110640.pdf,NOMBRE D'ACTIFS 22
Altixia Commerces,nb_locataires,None,73,doc1-20260430-110640.pdf,NOMBRE DE LOCATAIRES 73
Altixia Commerces,repartition_geo,"{'Régions': 62, 'Ile-de-France': 29, 'Paris': 9}","{'Régions': 65, 'Ile-de-France': 27, 'Paris': 8}",doc1-20260430-110640.pdf,"Régions 65%, Ile-de-France 27%, Paris 8%"
Altixia Commerces,repartition_sectorielle,"{'Commerces en retail park': 58, ""Commerces en pied d'immeuble"": 38, 'Bureaux et","{'Commerces en retail park': 61, ""Commerces de pied d'immeuble"": 35, 'Bureaux': ",doc1-20260430-110640.pdf,"Commerces en retail Park 61%, Commerces de pied d'immeuble 35%, Bureaux 2%, Activités 2%"
Altixia Commerces,liquidite,None,parts en attente de retrait: 13 559,doc1-20260430-110640.pdf,Parts en attente de retrait 13 559 (31-03-2026)
Altixia Commerces,frequence_distribution,Trimestriel,trimestrielle,doc1-20260430-110640.pdf,"La distribution des revenus est trimestrielle ; 2,04€ brut par part au 1T 2026"
Altixia Commerces,frais_souscription,3,2.5,doc1-20260430-110640.pdf,"COMMISSION DE SOUSCRIPTION : 2,5 % HT, soit 3 % TTC"
Altixia Commerces,maximus_warnings,,Liquidité : parts en attente de retrait: 13 559,doc1-20260430-110640.pdf,parts en attente de retrait: 13 559
Atream Hotel,prix_retrait,900.00,900,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,"Valeur de retrait 900,00 €"
Atream Hotel,capitalisation,325996200326,325.99,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,Capitalisation 325 996 200 € au 31/03/2026
Atream Hotel,repartition_geo,"{'France': 33, 'Allemagne': 30, 'Belgique': 23, 'Pays-Bas': 14}","{'France': 32, 'Allemagne': 29, 'Belgique': 22, 'Pays-Bas': 14, 'Italie': 3}",Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,"France 32%, Allemagne 29%, Belgique 22%, Pays-Bas 14%, Italie 3%"
Atream Hotel,liquidite,None,RAS / retraits compensés,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,Parts compensant les retraits 1 797 (T1 2026) ; pas de parts en attente mentionnées
Atream Hotel,frequence_distribution,Trimestriel,trimestrielle,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,"Dividende brut 1T 2026 : 12,25 €/part ; distribution trimestrielle"
Atream Hotel,sfdr_article,None,8,2026-03-11-DIC-PRIIPS-ATREAM-HOTELS-1.pdf,La SCPI promeut des critères environnementaux et sociaux au sens de l'article 8 du règlement européen dit Disclosure ou SFDR
Atream Hotel,niveau_risque_dic,None,3,2026-03-11-DIC-PRIIPS-ATREAM-HOTELS-1.pdf,Nous avons classé ce produit dans la classe de risque 3 sur 7
Atream Hotel,frais_souscription,12,10,Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf,"commission de souscription de 10 % HT (100 euros), soit 12 % TTC"
Buroboutic Métropoles,prix_souscription,230,77,BTI Buroboutic T1 2026.pdf,Prix de souscription à compter du 01.01.2026 : 77 € (suite à division par 3 du nominal)
Buroboutic Métropoles,prix_retrait,207.00,69.3,BTI Buroboutic T1 2026.pdf,"Prix de retrait : 69,30 € (suite à la division du prix de part le 01.01.2026)"
Buroboutic Métropoles,taux_distribution,5.07,5.1,BTI Buroboutic T1 2026.pdf,"le taux de distribution (TD) 2025 s'est établi à 5,10 %"
Buroboutic Métropoles,capitalisation,318.5,316,BTI Buroboutic T1 2026.pdf,Capitalisation 316 M€
Buroboutic Métropoles,tof,97.17,93.85,BTI Buroboutic T1 2026.pdf,"Taux d'Occupation Financier 1er trimestre 2026 : 93,85 %"
Buroboutic Métropoles,endettement,23.1,0,BTI Buroboutic T1 2026.pdf,Taux d'endettement au 31.03.2026 : 0 %
Buroboutic Métropoles,nb_associes,None,6779,BTI Buroboutic T1 2026.pdf,Associés 6 779
Buroboutic Métropoles,nb_immeubles,None,161,BTI Buroboutic T1 2026.pdf,Immeubles 161
Buroboutic Métropoles,nb_locataires,None,263,BTI Buroboutic T1 2026.pdf,Nombre de locataires 263
Buroboutic Métropoles,repartition_geo,"{'Régions': 53.3, 'Ile-de-France': 31.9, 'Paris': 14.8}","{'Régions': 53.6, 'Ile-de-France': 30.6, 'Paris': 15.8}",BTI Buroboutic T1 2026.pdf,"Régions 53,6%, Ile-de-France 30,6%, Paris 15,8%"
Buroboutic Métropoles,repartition_sectorielle,"{'Locaux commerciaux': 50.8, 'Bureaux': 32.2, ""Locaux d'activités"": 17}","{'Locaux commerciaux': 52.6, 'Bureaux': 31.8, ""Locaux d'activités"": 15.6}",BTI Buroboutic T1 2026.pdf,"Locaux commerciaux 52,6%, Bureaux 31,8%, Locaux d'activités 15,6%"
Buroboutic Métropoles,liquidite,None,parts en attente de retrait: 314 596,BTI Buroboutic T1 2026.pdf,314 596 parts en attente de retrait au 31 mars 2026 ; 180 parts échangées de gré à gré
Buroboutic Métropoles,frequence_distribution,Trimestriel,trimestrielle,BTI Buroboutic T1 2026.pdf,"Acomptes trimestriels ; 0,90 €/part au 1er trimestre 2026"
Buroboutic Métropoles,sfdr_article,None,8,BTI Buroboutic T1 2026.pdf,La SCPI BUROBOUTIC est classée Article 8 au sens du Règlement (UE) 2019/2088 dit SFDR
Buroboutic Métropoles,niveau_risque_dic,None,3,DIC BUROBOUTIC 31.12.2024.pdf,Nous avons classé ce produit dans la classe de risque 3 sur 7
Buroboutic Métropoles,frais_souscription,12,10,BTI Buroboutic T1 2026.pdf,Commission de souscription : 10 % HT (12 % TTC)
Buroboutic Métropoles,maximus_warnings,,Liquidité : parts en attente de retrait: 314 596,BTI Buroboutic T1 2026.pdf,parts en attente de retrait: 314 596
Coeur d'Europe,prix_retrait,176.00,179.52,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,"Valeur de retrait 179,52 €"
Coeur d'Europe,capitalisation,256,256.2,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,Capitalisation 256 202 172 € au 31/03/2026
Coeur d'Europe,nb_associes,None,7575,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,Nombre d'associés 7 575 au 31/03/2026
Coeur d'Europe,nb_immeubles,None,41,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,41 Biens immobiliers
Coeur d'Europe,nb_locataires,None,132,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,132 Entreprises locataires
Coeur d'Europe,repartition_geo,"{'Portugal': 36.8, 'Espagne': 35.9, 'Belgique': 20.4, 'Allemagne': 6.9}","{'Espagne': 43.8, 'Portugal': 33.5, 'Belgique': 15.5, 'Allemagne': 7.2}",Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,"Espagne 43,8%, Portugal 33,5%, Belgique 15,5%, Allemagne 7,2%"
Coeur d'Europe,repartition_sectorielle,"{'Commerces': 54.32, 'Bureaux': 26.68, ""Logistique et locaux d'activités"": 14.62","{'Commerces': 47.2, ""Logistique et locaux d'activités"": 29.33, 'Bureaux': 20.16,",Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,"Commerces 47,20%, Logistique et locaux d'activités 29,33%, Bureaux 20,16%, Santé et éducation 3,31%"
Coeur d'Europe,liquidite,None,parts en attente de retrait: 0,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,0 part en attente de retrait et part cédée de gré à gré
Coeur d'Europe,frequence_distribution,Trimestriel,trimestrielle,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,"Dividende brut versé au titre du 1er trimestre 2026 : 3,04 € par part"
Coeur d'Europe,sfdr_article,None,8,Coeur-dEurope-DIC.pdf,La SCPI CŒUR D'EUROPE est un produit classé Article 8 en application du règlement UE 2019/2088 dit Disclosure
Coeur d'Europe,niveau_risque_dic,None,3,Coeur-dEurope-DIC.pdf,Nous avons classé le produit dans la classe de risque 3 sur 7
Coeur d'Europe,maximus_warnings,,Liquidité : parts en attente de retrait: 0,Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf,parts en attente de retrait: 0
Coeur de Région,prix_retrait,584.32,584.32,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Valeur de retrait 584,32 €"
Coeur de Région,capitalisation,415.79,435.63,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,Capitalisation 435 631 144 € au 31/03/2026
Coeur de Région,tof,95.16,95.03,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Taux d'occupation financier 95,03 %"
Coeur de Région,endettement,8.53,9.88,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Endettement / Dettes et autres engagements 9,88 %"
Coeur de Région,nb_associes,None,10051,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,Nombre d'associés 10 051
Coeur de Région,nb_immeubles,82,93,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,93 Biens immobiliers
Coeur de Région,nb_locataires,None,198,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,198 Entreprises locataires
Coeur de Région,repartition_geo,"{'Régions': 86, 'Île-de-France': 14}","{'Régions': 86.7, 'Île-de-France': 13.3}",Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Régions 86,7%, Île-de-France 13,3%"
Coeur de Région,repartition_sectorielle,"{'Bureaux': 51.08, 'Commerces': 29.62, ""Logistique et locaux d'activités"": 17.47","{'Bureaux': 45.97, 'Commerces': 31.4, ""Logistique et locaux d'activités"": 21.35,",Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Bureaux 45,97%, Commerces 31,40%, Logistique et locaux d'activités 21,35%, Santé et éducation 1,23%, Alternatifs 0,05%"
Coeur de Région,liquidite,None,parts en attente de retrait: 0,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,0 part en attente de retrait et part cédée de gré à gré
Coeur de Région,frequence_distribution,Trimestriel,trimestrielle,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,"Dividende 1T 2026 : 10,29 € par part ; distribution trimestrielle"
Coeur de Région,sfdr_article,None,8,Coeur-de-Regions-DIC.pdf,La SCPI CŒUR DE REGIONS est un produit classé Article 8 en application du règlement UE 2019/2088 dit Disclosure
Coeur de Région,niveau_risque_dic,None,3,Coeur-de-Regions-DIC.pdf,Nous avons classé le produit dans la classe de risque 3 sur 7
Coeur de Région,maximus_warnings,,Liquidité : parts en attente de retrait: 0,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf,parts en attente de retrait: 0
Coeur de ville,prix_retrait,184.80,184.8,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Ville.pdf,"Valeur de retrait 184,80 €"
Coeur de ville,capitalisation,28.8,28.84,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Ville.pdf,Capitalisation 28 837 620 € (au 31/03/2026)
Coeur de ville,nb_associes,None,643,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Ville.pdf,Nombre d'associés 643
Coeur de ville,nb_immeubles,None,32,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Ville.pdf,32 Biens immobiliers
Coeur de ville,nb_locataires,None,36,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Ville.pdf,36 Entreprises locataires
Coeur de ville,repartition_geo,"{'Province': 83, 'Paris': 17}","{'Régions': 80.2, 'Île-de-France': 19.8}",Bulletin-Trimestriel-1T-2026-–-Coeur-de-Ville.pdf,"Composition du patrimoine - Régions 80,2 % / Île-de-France 19,8 %"
Coeur de ville,repartition_sectorielle,"{'Commerces alimentaires': 48.28, 'Commerces non alimentaires': 27.72, 'Services","{'Commerces alimentaires': 55.87, 'Commerces non alimentaires': 25.67, 'Services",Bulletin-Trimestriel-1T-2026-–-Coeur-de-Ville.pdf,"Répartition typologique selon la valeur du patrimoine : Commerces alimentaires 55,87 %, Commerces non alimentaires 25,67 %, Services 15,80 %, Santé et éducation"
Coeur de ville,frequence_distribution,Trimestriel,Trimestrielle,Bulletin-Trimestriel-1T-2026-–-Coeur-de-Ville.pdf,Dividendes versés par trimestre (2T 2025 ... 1T 2026)
Coeur de ville,niveau_risque_dic,None,3,Coeur-de-Ville-DIC.pdf,Nous avons classé le produit dans la classe de risque 3 sur 7
Coeur de ville,frais_gestion,10,1.2,Coeur-de-Ville-DIC.pdf,"Frais de gestion et autres frais administratifs et d'exploitation 1,20 % de la valeur par an"
Comète,prix_souscription,208,250.0,20260506-BTI-T1-2026-Comete.pdf,"250,00 €/part prix de souscription commission de souscription incluse"
Comète,prix_retrait,225.00,225.0,20260506-BTI-T1-2026-Comete.pdf,"225,00 € valeur de retrait"
Comète,capitalisation,519.6,652.0,20260506-BTI-T1-2026-Comete.pdf,"652,0 M€ capitalisation au 31.03.2026"
Comète,tof,99.1,99.5,20260506-BTI-T1-2026-Comete.pdf,"99,5 % TOF (hors développements)"
Comète,nb_associes,None,20907,20260506-BTI-T1-2026-Comete.pdf,20 907 associés
Comète,nb_immeubles,None,34,20260506-BTI-T1-2026-Comete.pdf,Actifs au 31.03.2026 : 34
Comète,nb_locataires,None,94,20260506-BTI-T1-2026-Comete.pdf,94 locataires / 99 baux
Comète,repartition_geo,"{'Royaume-Uni': 46.5, 'Espagne': 15.4, 'Italie': 12.4, 'Pays-Bas': 10.3, 'Canada","{'Royaume-Uni': 43.3, 'Canada': 16.2, 'Espagne': 15.2, 'Italie': 9.1, 'Pays-Bas'",20260506-BTI-T1-2026-Comete.pdf,"Répartition géographique patrimoine au 31.03.2026 : Royaume-Uni 43,3 %, Canada 16,2 %, Espagne 15,2 %, Italie 9,1 %, Pays-Bas 7,8 %, Pologne 5,7 %, Irlande 2,7 "
Comète,liquidite,None,903,20260506-BTI-T1-2026-Comete.pdf,Parts en attente de retrait en fin de période : 903 (T1 2026)
Comète,frequence_distribution,Trimestriel,Mensuelle,20260506-BTI-T1-2026-Comete.pdf,"Distributions mensuelles : janvier 1,56 € / février 1,55 € / mars 1,58 €"
Comète,niveau_risque_dic,None,3,20250122-Plaquette-commerciale-Comete-1.pdf,Produit dans la classe de risque 3 sur 7
Comète,frais_souscription,12,10,20260506-BTI-T1-2026-Comete.pdf,commission de souscription correspond à 10 % HT (soit 12 % TTC) du prix de souscription
Crédit Mutuel Pierre 1,nb_associes,None,18413,A7_BT_20260331.pdf,18 413 associés
Crédit Mutuel Pierre 1,nb_immeubles,None,64,A7_BT_20260331.pdf,64 Nombre d'immeubles en direct (+ 55 via des SCI)
Crédit Mutuel Pierre 1,repartition_geo,"{'Paris': 21.84, 'Île-de-France': 51.53, 'Régions France': 22.63, 'Allemagne': 3","{'Île-de-France': 51.53, 'Régions': 22.63, 'Paris': 21.84, 'Allemagne': 3.91, 'E",A7_BT_20260331.pdf,"Répartition géographique (valeur vénale) : Paris 21,84 %, Île-de-France 51,53 %, Régions 22,63 %, Allemagne 3,91 %, Espagne 0,09 %"
Crédit Mutuel Pierre 1,liquidite,None,396756,A7_BT_20260331.pdf,"marché des parts suspendu depuis le 12 février 2026 ; Parts en attente de retrait 396 756 (78,5 M€) soit 10,7 % du total"
Crédit Mutuel Pierre 1,frequence_distribution,Trimestriel,Trimestrielle,A7_BT_20260331.pdf,Versements potentiels : 30 juillet 2026 / 29 octobre 2026 / 29 janvier 2027
Crédit Mutuel Pierre 1,sfdr_article,None,9,A7_DIC.pdf,La SCPI a été classifiée article 9 au sens de SFDR ; (BT) Classement SFDR : article 9
Crédit Mutuel Pierre 1,niveau_risque_dic,None,4,A7_DIC.pdf,Ce produit a été catégorisé dans la classe de risque 4 sur 7
Crédit Mutuel Pierre 1,frais_souscription,9.6,8,A7_BT_20260331.pdf,"Commission de souscription : 8 % HT max, soit 9,60 % TTC"
Cristal Life,prix_retrait,181.28,183.04,IG_CLBulletin_Trimestriel2026_T1.pdf,"Valeur de retrait(6) 183,04 € ; retraits 1T 2026 valeur de retrait 183,04 €"
Cristal Life,nb_associes,None,13291,IG_CLBulletin_Trimestriel2026_T1.pdf,Nombre d'associés 13 291 au 31/03/2026
Cristal Life,nb_immeubles,None,42,IG_CLBulletin_Trimestriel2026_T1.pdf,Actifs 42
Cristal Life,repartition_geo,"{'France (Régions)': 50.41, 'Espagne': 21.86, 'Irlande': 12.01, 'Pays-Bas': 5.58","{'France (Régions)': 56.34, 'Espagne': 17.92, 'Irlande': 9.21, 'Pays-Bas': 3.9, ",IG_CLBulletin_Trimestriel2026_T1.pdf,"Répartition géographique : Régions 56,34 %, Espagne 17,92 %, Irlande 9,21 %, Pays-Bas 3,90 %, Pologne 3,84 %, Estonie 3,76 %, Royaume-Uni 3,15 %, Île-de-France "
Cristal Life,repartition_sectorielle,"{'Commerce': 33.11, 'Bureaux': 30.06, 'Hôtellerie': 16.64, 'Santé': 16.31, 'Acti","{'Commerce': 29.25, 'Bureau': 26.7, 'Santé': 23.0, 'Hôtel': 13.66, 'Activité & l",IG_CLBulletin_Trimestriel2026_T1.pdf,"Répartition par typologie : Commerce 29,25 %, Bureau 26,70 %, Santé 23,00 %, Hôtel 13,66 %, Activité & logistique 7,39 %"
Cristal Life,liquidite,None,3863,IG_CLBulletin_Trimestriel2026_T1.pdf,1T 2026 Retraits 3 863 parts
Cristal Life,frequence_distribution,Mensuel,Mensuelle,IG_CLBulletin_Trimestriel2026_T1.pdf,"Distribution mensuelle - Dividende net perçu 1,027 € (28/02), 0,995 € (25/03), 0,976 € (25/04)"
Cristal Life,sfdr_article,None,8,IG_CL_DIC20241203.pdf,CRISTAL Life est un fonds labélisé ISR et relève du champ d'application de l'article 8 du règlement européen n° 2019/2088 (SFDR)
Cristal Life,niveau_risque_dic,None,3,IG_CL_DIC20241203.pdf,Nous avons classé ce produit dans la classe de risque 3 sur 7
Cristal Life,frais_gestion,9,1.01,IG_CL_DIC20241203.pdf,"Frais de gestion et autres frais administratifs et d'exploitation 1,01 %"
Edissimo,taux_distribution,4.45,3.63,EDISSIMMO - Bulletin Semestriel 2025 S2.pdf,"Distribution brute 6,94 €/part ÷ prix de souscription au 01/01/2025 (191 €) = 3,63 %"
Edissimo,capitalisation,1639.5,3030,EDISSIMMO - Bulletin Semestriel 2025 S2.pdf,Capitalisation : 3 030 M€
Edissimo,tof,89.45,87.03,EDISSIMMO - Bulletin Semestriel 2025 S2.pdf,"Taux d'occupation Financier annuel 87,03 % (TOF S2 86,47 %)"
Edissimo,endettement,13.8,945,EDISSIMMO - Bulletin Semestriel 2025 S2.pdf,Endettement : 945 M€
Edissimo,nb_associes,None,59148,EDISSIMMO - Bulletin Semestriel 2025 S2.pdf,Nombre d'associés 59 148
Edissimo,nb_immeubles,None,178,EDISSIMMO - Bulletin Semestriel 2025 S2.pdf,Nombre d'immeubles 178
Edissimo,repartition_geo,"{'Paris': 65, 'Île-de-France': 30, 'Régions': 5}","{'Île-de-France': 30.2, 'Paris': 24.8, 'Régions': 21.0, 'Allemagne': 13.7, 'Espa",EDISSIMMO - Bulletin Semestriel 2025 S2.pdf,"Paris 24,8 %, Île-de-France 30,2 %, Régions 21,0 %, Allemagne 13,7 %, Espagne 3,5 %, Pays-Bas 3,4 %, Autriche 0,9 %, Rép.Tchèque 0,9 %, Belgique 0,9 %, Pologne "
Edissimo,repartition_sectorielle,"{'Bureaux': 88, 'Hôtellerie': 9, 'Logistique': 3}","{'Bureaux': 68.9, 'Commerces': 14.5, 'Logistique': 9.0, 'Hôtels': 4.3, 'Résidenc",EDISSIMMO - Bulletin Semestriel 2025 S2.pdf,"Bureaux 68,9 %, Commerces 14,5 %, Logistique 9,0 %, Hôtels 4,3 %, Résidences Services 1,6 %, Cliniques 1,2 %, Locaux d'activité 0,5 %"
Edissimo,liquidite,None,620526,EDISSIMMO - Bulletin Semestriel 2025 S2.pdf,"Nombre de parts en attente de retrait 620 526 (au 31/12/2025) ; fonds de remboursement utilisé 18,9 M€"
Edissimo,frequence_distribution,Trimestriel,Trimestrielle,EDISSIMMO - Bulletin Semestriel 2025 S2.pdf,"Distributions T1/T2/T3/T4 (dates de versement 22/04, 21/07, 20/10, 20/01)"
Edissimo,sfdr_article,None,8,EDISSIMMO - DIC PRIIPS 2025-07-31.pdf,Le Produit promeut des critères ESG au sens de l'article 8 du Règlement (UE) 2019/2088
Edissimo,niveau_risque_dic,None,4,EDISSIMMO - DIC PRIIPS 2025-07-31.pdf,Nous avons classé ce Produit dans la classe de risque 4 sur 7
Edissimo,duree_placement,10,8,EDISSIMMO - DIC PRIIPS 2025-07-31.pdf,Période de détention recommandée : 8 ans
Edissimo,frais_souscription,12,7.993,EDISSIMMO - DIC PRIIPS 2025-07-31.pdf,"Coûts d'entrée 7,993 % du montant que vous payez lors de l'entrée"
Edissimo,frais_gestion,9.6,1.03,EDISSIMMO - DIC PRIIPS 2025-07-31.pdf,"Frais de gestion et autres coûts administratifs ou d'exploitation 1,03 % par an"
Efimmo 1,prix_retrait,190.80,190.8,EFIMMO-BT-1T-2026.pdf,"190,80 € prix de retrait de la part d'EFIMMO 1"
